input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.fawpar.2019.e00053	doi:10.1016/j.fawpar.2019.e00053	doi:10.1016/j.fawpar.2019.e00053	1GGiQbXad
doi:10.1586/14760584.2013.844652	doi:10.1586/14760584.2013.844652	doi:10.1586/14760584.2013.844652	1BNTjs2AW
pubmed:29279081	pubmed:29279081	pubmed:29279081	xPeOUT2l
pubmed:7131181	pubmed:7131181	pubmed:7131181	pfVfiK4V
pubmed:8410543	pubmed:8410543	pubmed:8410543	tbbvVCVJ
doi:10.1007/s11845-022-02998-9	doi:10.1007/s11845-022-02998-9	doi:10.1007/s11845-022-02998-9	8d44pNcQ
pubmed:17296268	pubmed:17296268	pubmed:17296268	LHxQuBIP
pubmed:22542988	pubmed:22542988	pubmed:22542988	TJuRYPBT
pubmed:28403374	pubmed:28403374	pubmed:28403374	1EdqLODgK
doi:10.3390/vaccines13080851	doi:10.3390/vaccines13080851	doi:10.3390/vaccines13080851	jpIsorYk
doi:10.1016/j.vaccine.2025.126965	doi:10.1016/j.vaccine.2025.126965	doi:10.1016/j.vaccine.2025.126965	qIEID57T
doi:10.1038/s41598-018-37671-8	doi:10.1038/s41598-018-37671-8	doi:10.1038/s41598-018-37671-8	1FdxhfEjK
doi:10.1016/j.ijpara.2025.08.002	doi:10.1016/j.ijpara.2025.08.002	doi:10.1016/j.ijpara.2025.08.002	bOIlnUZn
pubmed:8544058	pubmed:8544058	pubmed:8544058	TcOnlE1a
pubmed:1854103	pubmed:1854103	pubmed:1854103	nY664YG7
pubmed:10577720	pubmed:10577720	pubmed:10577720	15FEECmMZ
doi:10.1006/cryo.1996.0033	doi:10.1006/cryo.1996.0033	doi:10.1006/cryo.1996.0033	S0FUUAWJ
doi:10.1016/j.vetpar.2007.01.007	doi:10.1016/j.vetpar.2007.01.007	doi:10.1016/j.vetpar.2007.01.007	nbPzLym3
doi:10.1016/j.exppara.2012.04.006	doi:10.1016/j.exppara.2012.04.006	doi:10.1016/j.exppara.2012.04.006	pb8bcn4i
doi:10.1590/S1984-29612017007	doi:10.1590/S1984-29612017007	doi:10.1590/s1984-29612017007	vvw5pThc
pubmed:11936503	pubmed:11936503	pubmed:11936503	Rr8XSXpA
doi:10.1016/j.vaccine.2019.11.076	doi:10.1016/j.vaccine.2019.11.076	doi:10.1016/j.vaccine.2019.11.076	1F01g5j5k
pubmed:7776126	pubmed:7776126	pubmed:7776126	7ZMAaQiC
doi:10.1016/j.vetpar.2017.10.021	doi:10.1016/j.vetpar.2017.10.021	doi:10.1016/j.vetpar.2017.10.021	gbBz9ylX
doi:10.1016/j.vetpar.2017.05.024	doi:10.1016/j.vetpar.2017.05.024	doi:10.1016/j.vetpar.2017.05.024	TvpTGF5b
pmc:PMC10776954	pmc:PMC10776954	pmc:PMC10776954	8fEIV9mV
pubmed:12324204	pubmed:12324204	pubmed:12324204	15cA3Ihxo
pubmed:37343040	pubmed:37343040	pubmed:37343040	LksKJDUQ
pubmed:40635073	pubmed:40635073	pubmed:40635073	oJLM3lz5
doi:10.1371/journal.pone.0104740	doi:10.1371/journal.pone.0104740	doi:10.1371/journal.pone.0104740	8qit1qg2
pubmed:33947922	pubmed:33947922	pubmed:33947922	2i1eLIdc
pubmed:34153160	pubmed:34153160	pubmed:34153160	1FPLwIGkZ
pubmed:36846606	pubmed:36846606	pubmed:36846606	127wLkLvL
pubmed:40974007	pubmed:40974007	pubmed:40974007	145J1fMU1
pubmed:33359204	pubmed:33359204	pubmed:33359204	MX0ZcJE7
doi:10.1016/j.vetpar.2020.109145	doi:10.1016/j.vetpar.2020.109145	doi:10.1016/j.vetpar.2020.109145	1G5aZJGra
