year,study_id,category,vaccine_or_intervention,cat_scale,immunization_program,challenge_design,immunology_summary,oocyst_summary,evidence_grade,notes
1982,Frenkel1982,direct_cat_study,"stage exposure comparison / killed tachyzoites / chemoprophylaxis","75 kittens plus subgroup experiments","compared bradyzoites in cysts, tachyzoites, sporozoites, killed tachyzoites, and drug-suppressed infections","rechallenge and observation of re-shedding","seroconversion alone did not predict protection","94% protected after cyst bradyzoites; 86% after tachyzoites; 11% after sporozoites; 1/24 after killed tachyzoites; 85% after chemoprophylaxis group",B,"foundational immunology rather than modern product-style vaccine study"
1991,Frenkel1991,direct_cat_study,T-263 non-oocyst mutant strain,"37 kittens for protection evaluation","immunization with T-263 bradyzoites","challenge with oocyst-producing strain","focus on immune phenotype without oocyst shedding during immunization","31/37 protected; no oocyst shedding during immunization",A,"first explicit practical cat vaccine proposal"
1993,Freyre1993,direct_cat_study,T-263 route comparison,"multiple grouped experiments","two oral doses of whole cysts or liberated bradyzoites; single or double duodenal tachyzoites","challenge with T-265 oocyst-producing strain","whole cyst and liberated bradyzoite routes seroconverted well","whole cyst and liberated bradyzoite groups had no detectable oocyst shedding; double duodenal tachyzoite route protected 2/7",A,"supports intestinal-stage-relevant immunity"
1999,MateusPinilla1999,direct_cat_study,T-263 oral field vaccination,"8 commercial swine farms with trapped farm-cat cohorts","cats were trapped and orally inoculated with live T-263 bradyzoites during 1994 and 1995; some initially seronegative cats were recaptured for a second dose","field follow-up from 1994 to 1996 with cat feces plus pig mouse and cat serology","program evaluated farm-level impact rather than controlled immune correlates","11 cats (5%) shed oocysts during 1994 to 1996 and 10 of 11 shedding events occurred in 1994; last shedding detection was at the first 1995 visit; finishing-pig seroprevalence decreased significantly and mouse positivity fell from 4% to 0%",B,"translational field evidence that cat vaccination can reduce downstream farm exposure"
2002,Mishima2002,direct_cat_study,recombinant feline herpesvirus type 1 expressing ROP2,"cat scale not stated in abstract","cats were vaccinated with recombinant FHV1 expressing the ROP2 antigen","post-vaccination T. gondii infection with systemic protection readouts","vaccination induced serum IgG against native antigen and antibodies inhibited tachyzoite invasion in vitro","reduced brain parasite load in cats; oocyst-shedding endpoint was not reported",C,"cat vaccine study with systemic rather than definitive-host transmission endpoint"
2007,Garcia2007,direct_cat_study,"crude rhoptry protein + Quil-A intranasal vaccine","11 cats","three intranasal doses of 200 ug antigen plus 20 ug Quil-A","day 51 oral challenge with 600 VEG cysts","serum IgG and IgA monitored","2/3 immunized cats had no detected oocysts; 89.3% to 90.8% reduction; preventable fraction 67%",B,"small sample size and crude antigen preparation"
2012,Zulpo2012,direct_cat_study,"crude rhoptry protein + Quil-A, intranasal vs rectal","25 cats in 5 groups","four mucosal immunizations with intranasal or rectal routes","day 70 challenge with about 800 ME49 cysts","serum and fecal antibodies did not align with protection","intranasal and rectal groups reduced shedding to about 53.0% and 58.0% of control",B,"partial protection and unclear mechanism"
2017,Zulpo2017,direct_cat_study,"rROP2 + Quil-A intranasal vaccine","12 cats in 3 groups","days 0, 21, 42, 63 intranasal 100 ug rROP2 plus 20 ug Quil-A","day 70 oral challenge with about 800 ME49 cysts","anti-rROP2 IgG and IgA induced but not correlated with shedding","about 86.7% reduction in oocyst shedding vs controls",B,"promising antigen module but not stable stand-alone protection"
2019,Ramakrishnan2019,direct_cat_study,HAP2 knockout live attenuated strain,"14 SPF cats","two doses of HAP2 KO tissue cysts at 12 and 17 weeks","challenge at 22 weeks with wild-type CZ clone H3 cysts","challenge confirmed and study centered on transmission blocking","0/4 HAP2 KO cats shed oocysts; all naive controls shed; total shedding 2 to 149 million per cat in controls",A,"strongest direct transmission-blocking evidence among cat studies"
2020,LeRoux2020,direct_cat_study,Mic1-3KO live attenuated strain,"group sizes incompletely reported in abstract","subcutaneous or oral immunization","oral challenge with wild-type 76K strain","high specific antibody response and good tolerance","did not prevent oocyst shedding after challenge in either route",B,"important negative result"
2025,Minutti2025,direct_cat_study,pcDNA3.1-rop18 DNA vaccine,"4 domestic cats","25 ug plasmid intramuscularly every 3 weeks for 4 doses with 1.5% levamisole","30 days after last immunization challenged with 300 ToxoDB182 cysts","ELISA and western blot showed specific IgG with significant antibody difference","53.3% lower shedding but shedding difference not statistically significant",B,"very small early feasibility study"
2025,Yang2025,direct_cat_study,"rGRA12 alone or with ISA 201","12 cats in 4 groups","subcutaneous immunization on days 0, 14, 28","day 42 intraperitoneal challenge with 1e6 RH tachyzoites","IgG IgG1 IgG2a IFN-gamma IL-2 TNF-alpha IL-4 increased in adjuvanted group","oocyst totals 4.61e6, 4.49e6, 3.58e6, 2.59e6 across groups; 27.88% reduction in adjuvanted group; median survival 60 days with no deaths",B,"relatively complete subunit-vaccine evidence chain but still partial protection"
2026,Xie2026,direct_cat_study,PruDeltaPP2A-c live attenuated strain,"12 Chinese Li Hua cats aged 3 to 4 months","attenuated-strain immunization; full cat protocol not fully visible from abstract-only access","homologous challenge followed by fecal monitoring","higher antibody level reported; mouse data also suggested cellular and humoral enhancement","94.5% reduction in fecal oocyst shedding, P < 0.001",A,"cat-specific procedural details should be rechecked against full text"
