year,study_id,category,study_type,cat_scale,design_summary,key_finding,evidence_grade,notes
1995,Dubey1995a,support_study,duration_of_immunity,"12 initially infected cats with long follow-up","rechallenge after 39 days and again after 77 months","short-term protection against re-shedding was strong, but 4/9 shed again after 77 months",C,"important for long-term durability framing"
1995,DavisDubey1995,support_study,intestinal_stage_mechanism,"12 immune cats and 11 nonimmune cats","compared enteroepithelial development after rechallenge","early intestinal stages were suppressed in immune cats",C,"supports intestinal-stage mechanism"
1996,Booth1996,support_study,cryopreservation,"non-efficacy development study","developed cryopreservation for T-263 bradyzoites","shows T-263 was once advanced toward product development",C,"process study"
2002,MateusPinilla2002,support_study,transmission_modeling,"deterministic simulation seeded with 10 to 50 cats and 0 to 75% vaccination coverage","dynamic swine-cat farm model compared field and weaning vaccination schedules while varying cat numbers prevalence and oocyst survival","decreased finishing-pig prevalence was driven mainly by fewer cats (sr2=47%) and shorter oocyst survival (sr2=35%); vaccination still contributed (sr2=5%)",C,"supports vaccine utility but shows cat density and environmental persistence remain dominant control levers"
2014,Cornelissen2014,support_study,challenge_model,"5 groups of 3 cats","dose-response challenge model with free bradyzoites and intact cysts plus qPCR","qPCR was more sensitive and several inocula established infection",C,"useful for standardized challenge design"
2017,Dubey2017,support_study,T263_enteric_development,"4 cats","observed T-263 enteroepithelial development","partial schizonts and gamonts formed but no oocysts formed",C,"explains immunogenic but non-oocyst phenotype"
2018,Zulpo2018,support_study,heterologous_reinfection,"13 cats","tracked homologous and heterologous rechallenge at 12, 24, 36 months","protection waned over time and heterologous reinfection more readily re-induced shedding",C,"key for cross-protection and durability"
2021,Schreiber2021,support_study,seroepidemiology_and_antibody_kinetics,"6 experimentally inoculated cats plus 1822 client-owned cats","compared antibody kinetics after oral tissue-cyst versus sporulated-oocyst inoculation and modeled prevalence risk factors in Switzerland","long-term humoral responses persisted; estimated true prevalence was 42.4% overall and 56.3% in outdoor cats vs 22.1% indoors; tissue-cyst and oocyst inoculations had similar early antibody kinetics",C,"useful for interpreting serology in vaccine and field surveillance work"
2023,Lykins2023,support_study,sexual_stage_genetics_T263,"mechanistic sequencing work with additional cat-shedding observations","combined structural biology mutant sequencing and cat-passaging observations to dissect T-263 and TgO/GABA-AT","TgO/GABA-AT knockout did not eliminate cat oocyst shedding; sequencing of T-263 linked blocked oocyst formation to conception and zygote-related candidate genes",C,"moves the field from phenomenological T-263 protection toward gene-defined transmission-blocking targets"
2023,Zhu2023,support_study,environmental_risk_modeling,"systematic dataset of 47 studies with 256 positives among 9635 fecal samples","generalized linear mixed models tested climate and anthropogenic predictors of shedding in free-ranging felids","human population density was positively associated with shedding in domestic cats and wild felids; larger diurnal temperature range increased domestic-cat shedding",C,"helps frame where cat-targeted vaccination could have the largest environmental effect"
2025,Zhao2025,support_study,gut_microbiota_during_oocyst_excretion,"comparative metagenomics of cats at sexual initiation oocyst excretion and uninfected stages","shotgun metagenomics with KEGG CAZyme virulence-factor and taxonomic analyses","sexual initiation and oocyst excretion reduced bacterial diversity; 39 KEGG pathways 106 CAZymes and 98 virulence factors differed; Bacteroides stercoris emerged as a candidate regulator",C,"mechanistic support for microbiota-informed interventions around oocyst excretion"
2026,GunayEsiyok2026,support_study,feline_stage_marker,"feline detection study; exact sample size not extracted from current abstract snapshot","evaluated MIC17A as a potential entero-epithelial and chronic-stage marker for feline toxoplasmosis","MIC17A was proposed as a marker spanning entero-epithelial and chronic stages in cats",C,"useful for stage-specific feline detection and phase interpretation rather than direct vaccine efficacy"
2026,LargoDeLaTorre2026,support_study,viability_assay,"non-cat laboratory method study","developed a gra1-bag1 RT-qPCR workflow as an alternative to mouse bioassay for assessing Toxoplasma gondii viability","combined RT-qPCR readouts offered a molecular route to assess viability without relying only on mouse bioassay",C,"useful for downstream evaluation systems and viability interpretation"
2026,Sousa2026,support_study,drug_induced_stage_conversion,"cell-culture study in cyst-forming apicomplexans rather than cat model","examined how BKI-1708 affected cytokinesis and stage conversion in Toxoplasma gondii and Neospora caninum","BKI-1708 disrupted cytokinesis and promoted bradyzoite-related conversion, indicating that drug pressure can reshape parasite stage state",C,"important for drug-mechanism interpretation and stage-conversion context"
